neighborhood,latitude,longitude
Bensonhurst,40.6139,-73.9922
Borough Park,40.6350,-73.9921
Brighton Beach,40.5781,-73.9597
Coney Island,40.5755,-73.9707
Brighton Beach/Coney Island,40.5768,-73.9652
Chelsea,40.7465,-74.0014
Clinton,40.7638,-73.9918
Chelsea/Clinton,40.7552,-73.9966
Crown Heights,40.6694,-73.9422
Far Rockaway,40.5999,-73.7448
Flatbush,40.6415,-73.9594
Flushing,40.7675,-73.8331
Hunts Point,40.8094,-73.8803
Longwood,40.8248,-73.8916
Melrose,40.8245,-73.9104
Hunts Point/Longwood/Melrose,40.8196,-73.8941
Jamaica,40.7027,-73.7890
Long Island City,40.7447,-73.9485
Astoria,40.7644,-73.9235
Long Island City/Astoria,40.7546,-73.9360
Midwood,40.6204,-73.9600
Marine Park,40.6114,-73.9332
Midwood/Marine Park,40.6159,-73.9466
Port Richmond,40.6355,-74.1255
Red Hook,40.6734,-74.0083
Sunset Park,40.6527,-74.0093
Corona,40.7450,-73.8643
Elmhurst,40.7380,-73.8801
Jackson Heights,40.7557,-73.8831
Maspeth,40.7294,-73.9066
Woodside,40.7533,-73.9069
West Queens,40.7443,-73.8882
Williamsburg,40.7081,-73.9571
Willowbrook,40.6032,-74.1385
