Start Date,End Date,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Total
2018-09-01,2019-05-20,1,14,28,14,34,68,150,169,45,0,0,0,523
2018-09-01,2019-05-24,1,14,28,14,34,68,151,171,54,0,0,0,535
2018-09-01,2019-05-29,1,14,28,14,34,69,157,173,60,0,0,0,550
2018-09-01,2019-06-03,1,14,28,14,34,69,159,172,73,2,0,0,566
2018-09-01,2019-06-10,1,14,28,14,34,69,160,177,86,5,0,0,588
2018-09-01,2019-06-24,1,14,28,14,34,72,162,179,89,16,0,0,609
2018-09-01,2019-07-15,1,14,28,14,35,72,166,177,93,22,1,0,623
2018-09-01,2019-07-22,1,14,28,14,35,72,168,181,98,22,4,0,637
2018-09-01,2019-07-29,1,14,28,14,36,71,170,182,98,22,6,0,642
2018-09-01,2019-08-19,1,13,28,14,36,71,170,194,99,22,6,0,654
2018-09-01,2019-08-26,1,13,28,14,36,71,170,194,99,22,6,0,654
